Timestamp,Price (USD),Market Cap (USD),Fully Diluted Market Cap (USD),24h Volume (USD)
2024-04-16 23:00:53,0.5882169956593304,397937251.4004749,406060993.40789753,14411474.43384082
2024-04-17 00:02:08,0.6118538713017905,420760141.1987682,422378123.4385895,14777333.936680462
2024-04-17 01:00:39,0.6214884528295487,431032470.53284216,429029117.502176,14790706.634145468
2024-04-17 02:00:33,0.6386078478882821,436521857.08340406,440847066.68655753,15052470.357493155
2024-04-17 03:03:04,0.6213540687624887,428628802.48598605,428936348.7991782,14928822.080772126
2024-04-17 04:02:42,0.656201005130465,445698435.56089616,452992065.82745206,14216062.739813179
2024-04-17 05:02:47,0.6472056300018612,439684651.5973487,446782332.0255525,12415108.660266878
2024-04-17 06:01:48,0.6588369817116319,452489373.0880829,454811746.7905103,12621590.259306839
2024-04-17 07:06:46,0.6318505537164559,439271352.2237739,436182336.4859527,12187275.971751507
2024-04-17 08:07:00,0.6280126767029539,434408638.66603315,433532953.411033,12104457.460746454
2024-04-17 09:07:42,0.6543255078055805,451619794.89205176,451697362.83094513,12381005.585578926
2024-04-17 10:12:35,0.652069217261287,451250947.19974244,450139788.6931803,12284604.380890207
2024-04-17 11:13:48,0.6383837634767445,439585819.5588234,440692375.5786371,12020308.408146154
2024-04-17 12:13:05,0.618866044957507,427218803.36045635,427218803.36045635,11722688.742993945
2024-04-17 13:12:49,0.6913335060063844,476755269.41693765,477244915.2212188,12368627.162536312
2024-04-17 14:13:10,0.64453044456671,453029137.3840989,444935584.2039766,13036689.981875354
2024-04-17 15:13:51,0.5571034959236595,409939426.11546355,384582561.63137007,12960420.471195187
2024-04-17 16:05:01,0.5220384905589419,359872965.5394203,360376306.0873755,13259715.77829702
2024-04-17 17:03:21,0.5493416775043706,384193240.09859544,379224383.06589806,12768569.487496601
2024-04-17 18:06:00,0.6062158861611565,400552535.1046895,418486080.4273898,12500363.937170135
2024-04-17 19:03:58,0.6363709638132592,450664068.99684596,439302889.32285523,13901599.982222052
2024-04-17 20:00:50,0.5929204607557507,404161126.73734987,409307913.7172487,13589583.41377144
2024-04-17 21:04:16,0.6395804117415431,434651151.3759273,441518451.98708785,13536646.492952522
2024-04-17 22:00:23,0.6288901302735401,435021998.6706952,434138681.69017285,13069100.489269422
2024-04-17 23:04:24,0.5954714426021122,407417027.3895764,411068920.67614824,12662327.36837259
2024-04-18 00:04:40,0.5750275154735329,393916145.05267894,396955963.34875166,12452615.812476015
2024-04-18 01:05:08,0.5854673888658898,409299007.535114,404162870.6500298,12130787.293073371
2024-04-18 02:04:42,0.611775960614927,425782256.2601567,422324339.73098105,12238356.702121992
2024-04-18 03:05:15,0.6064154215296823,418122072.3245359,418623824.7131916,12058382.616393885
2024-04-18 04:05:23,0.6087166277435898,428547614.0975536,420212405.267904,12339169.893071994
2024-04-18 05:03:28,0.5879568143777878,409336152.95750844,405881383.7223071,11938449.307167277
2024-04-18 06:18:27,0.5620259657328167,393123556.9076257,387980666.4047391,11438323.123030294
2024-04-18 07:07:22,0.5462142241045548,376527875.5532077,377065423.2878953,11259004.112134324
2024-04-18 08:08:26,0.5413068638686476,373360991.40777415,373677749.0331429,10995130.126378117
2024-04-18 09:08:50,0.5506386119707246,373117842.1842116,380119689.5627842,10851533.954552785
2024-04-18 10:08:04,0.5578585809177607,382833083.1491815,385103815.8030019,10705977.545776233
2024-04-18 11:08:13,0.5790792311331774,398008457.4633104,399752964.62192535,10802036.878752848
2024-04-18 12:08:17,0.6026888995046511,415252732.0822001,416051312.78883886,11134437.448514791
2024-04-18 13:08:30,0.5810691857186474,395446299.6817241,401126680.34550256,9785154.968606085
2024-04-18 14:08:30,0.5937958942551934,410638958.3974012,409912247.49044716,9520316.01240846
2024-04-18 15:08:14,0.6282156115988788,426132763.68803006,433673044.47614074,9349168.82272893
2024-04-18 16:08:24,0.6194248767627507,431813588.2779692,427604579.0175008,8615626.50072263
2024-04-18 17:08:53,0.6173203026594131,421782553.6562583,426151738.5565687,8147818.003827175
2024-04-18 18:08:10,0.6077534047244358,427741870.4745343,419547468.1802011,7505220.258795561
2024-04-18 19:08:23,0.6379000189995347,438107674.5075809,440358434.59355694,6400311.969033304
2024-04-18 20:09:19,0.6418235819629948,444516980.86610603,443066968.8358483,6643496.456275417
2024-04-18 21:09:22,0.6333072299387754,436550297.9939277,437187916.7365636,6470618.398268159
2024-04-18 22:08:46,0.6195221376214912,427709119.5186556,427671720.63566434,6399767.638640761
2024-04-18 23:09:25,0.6313451501515429,429248605.27816504,435833443.6876233,6410807.803887798
2024-04-19 00:09:18,0.6289333812168548,439590136.85126674,434168538.9046664,6117854.263032687
2024-04-19 01:09:46,0.6101630988954557,421214092.6991931,421210940.7015906,5902834.6677514445
2024-04-19 02:09:02,0.4988601670596217,343612698.3870162,344375726.13964057,7340293.16928561
2024-04-19 03:09:27,0.5577961169715728,385622527.6727631,385060695.3691681,9114431.986570545
2024-04-19 04:09:23,0.5993148440302308,411186147.46587694,413722117.3934887,10147667.446508767
2024-04-19 05:09:32,0.6317659317734651,436372478.6680444,436123919.8293642,10621246.845976176
2024-04-19 06:09:11,0.6575648644075672,437555827.2888329,453933572.2052267,11089970.851392506
2024-04-19 07:08:42,0.7110644818582382,467616722.08525085,490865704.34229887,11845286.067741126
2024-04-19 08:08:43,0.7232014424707154,498144260.15999174,499244153.65543175,13317670.42618957
2024-04-19 09:09:48,0.7306632623161472,504744532.4450322,504395235.65650606,13630084.734744431
2024-04-19 10:10:18,0.7449808642323685,513631158.7834861,514279036.53309065,13763275.868969643
2024-04-19 11:09:40,0.7526750647812062,514100211.7297966,519590536.78112173,13821856.139708336
2024-04-19 12:01:51,0.7535197877523998,523152779.61834097,520173670.3039008,13837368.330734806
2024-04-19 13:01:57,0.7539981795796008,523976075.1604741,520503916.2199912,13846153.347435081
2024-04-19 14:01:47,0.70651699413662,487371634.871203,487726459.1396322,14342915.382447302
2024-04-19 15:05:27,0.745794569456061,513558432.1097944,514840757.72427016,14173819.749097772
2024-04-19 16:05:19,0.7685821740111674,530537839.4556801,530571614.55315346,14616201.741215901
2024-04-19 17:06:20,0.7558017463450966,522037457.47274673,521748963.74136347,14540887.70349441
2024-04-19 18:06:58,0.7406375712585714,510462307.1120399,511280752.1029974,14608951.944715323
2024-04-19 19:04:56,0.7406804782460864,513909593.3631305,511310371.87614757,14434880.803771174
